State,,District,GAUL_CODE,GAUL_NAME
Maharashtra,1498,Aurangabad,17786,Aurangabad
Maharashtra,1498,Bhandara,70179,Bid
Maharashtra,1498,Bid,17761,Bhandara
Maharashtra,1498,Buldana,17762,Buldana
Maharashtra,1498,Chandrapur,17763,Chandrapur
Maharashtra,1498,Dhule,17764,Dhule
Maharashtra,1498,Garhchiroli,17765,Garhchiroli
Maharashtra,1498,Gondiya,70180,Gondiya
Maharashtra,1498,Hingoli,70181,Hingoli
Maharashtra,1498,Jalgaon,17767,Jalgaon
Maharashtra,1498,Jalna,70182,Jalna
Maharashtra,1498,Kolhapur,17769,Kolhapur
Maharashtra,1498,Latur,17770,Latur
Maharashtra,1498,Mumbai Suburban,70183,Mumbai Suburban
Maharashtra,1498,Nagpur,17771,Nagpur
Maharashtra,1498,Nanded,17772,Nanded
Maharashtra,1498,Nandurbar,70185,Nandurbar
Maharashtra,1498,Nashik,17773,Nashik
Maharashtra,1498,Osmanabad,17774,Osmanabad
Maharashtra,1498,Parbhani,70186,Parbhani
Maharashtra,1498,Pune,17776,Pune
Maharashtra,1498,Raigarh,17777,Raigarh
Maharashtra,1498,Ratnagiri,17778,Ratnagiri
Maharashtra,1498,Sangli,17780,Sangli
Maharashtra,1498,Satara,17781,Satara
Maharashtra,1498,Sindhudurg,17779,Sindhudurg
Maharashtra,1498,Solapur,17782,Solapur
Maharashtra,1498,Thane,17783,Thane
Maharashtra,1498,Wardha,17784,Wardha
Maharashtra,1498,Washim,70187,Washim
Maharashtra,1498,Yavatmal,17785,Yavatmal
Manipur,1500,Bishnupur,70188,Bishnupur
Manipur,1500,Chandel,70189,Chandel
Manipur,1500,Churachandpur,70190,Churachandpur
Manipur,1500,East Imphal,70191,East Imphal
Manipur,1500,Senapati,70192,Senapati
Manipur,1500,Tamenglong,70193,Tamenglong
Manipur,1500,Thoubal,70194,Thoubal
Manipur,1500,Ukhrul,70195,Ukhrul
Manipur,1500,West Imphal,70196,West Imphal
Meghalaya,1501,East Garo Hills,17793,East Garo Hills
Meghalaya,1501,East Khasi Hills,17794,East Khasi Hills
Meghalaya,1501,Jaintia Hills,17795,Jaintia Hills
Meghalaya,1501,Ri-Bhoi,70197,Ri-Bhoi
Meghalaya,1501,South Garo Hills,70198,South Garo Hills
Meghalaya,1501,West Garo Hills,17796,West Garo Hills
Meghalaya,1501,West Khasi Hills,17797,West Khasi Hills
Mizoram,1502,Aizawl,17798,Aizawl
Mizoram,1502,Aizawl (East),17798,Aizawl
Mizoram,1502,Aizawl (West),17798,Aizawl
Mizoram,1502,Champhai,70199,Champhai
Mizoram,1502,Kolasib,70200,Kolasib
Mizoram,1502,Lawngtlai,70201,Lawngtlai
Mizoram,1502,Lunglei,17800,Lunglei
Mizoram,1502,Mamit,70202,Mamit
Mizoram,1502,Saiha,70203,Saiha
Mizoram,1502,Serchhip,70204,Serchhip
Nagaland,1503,Dimapur,70205,Dimapur
Nagaland,1503,Kiphire,17805,Tuensang
Nagaland,1503,Kohima,17801,Kohima
Nagaland,1503,Longleng,17805,Tuensang
Nagaland,1503,Mokokchung,17802,Mokokchung
Nagaland,1503,Mon,17803,Mon
Nagaland,1503,Peren,17801,Kohima
Nagaland,1503,Phek,17804,Phek
Nagaland,1503,Tuensang,17805,Tuensang
Nagaland,1503,Wokha,17806,Wokha
Nagaland,1503,Zunheboto,17807,Zunheboto
Orissa,1504,Angul,70206,Angul
Orissa,1504,Baleshwar,70210,Bolangir
Orissa,1504,Baragarh,70207,Baleshwar
Orissa,1504,Bhadrak,70208,Baragarh
Orissa,1504,Bolangir,70209,Bhadrak
Orissa,1504,Boudh,70211,Boudh
Orissa,1504,Cuttack,17809,Cuttack
Orissa,1504,Deogarh,70212,Deogarh
Orissa,1504,Dhenkanal,17810,Dhenkanal
Orissa,1504,Gajapati,70213,Gajapati
Orissa,1504,Ganjam,17811,Ganjam
Orissa,1504,Jagatsinghpur,70214,Jagatsinghpur
Orissa,1504,Jajpur,70215,Jajpur
Orissa,1504,Jharsuguda,70216,Jharsuguda
Orissa,1504,Kalahandi,17812,Kalahandi
Orissa,1504,Kandhamal,70217,Kandhamal
Orissa,1504,Kendrapara,70218,Kendrapara
Orissa,1504,Keonjhar,17813,Keonjhar
Orissa,1504,Khordha,70219,Khordha
Orissa,1504,Koraput,17814,Koraput
Orissa,1504,Malkangiri,70220,Malkangiri
