"ADM0_CODE","ADM0_NAME","ADM1_CODE","ADM1_NAME","ADM2_CODE","ADM2_NAME"
115,"India",1498,"Maharashtra",17761,"Bhandara"
115,"India",1498,"Maharashtra",70179,"Bid"
115,"India",1498,"Maharashtra",17762,"Buldana"
115,"India",1498,"Maharashtra",17763,"Chandrapur"
115,"India",1498,"Maharashtra",17764,"Dhule"
115,"India",1498,"Maharashtra",17765,"Garhchiroli"
115,"India",1498,"Maharashtra",70180,"Gondiya"
115,"India",1498,"Maharashtra",70181,"Hingoli"
115,"India",1498,"Maharashtra",17767,"Jalgaon"
115,"India",1498,"Maharashtra",70182,"Jalna"
115,"India",1498,"Maharashtra",17769,"Kolhapur"
115,"India",1498,"Maharashtra",17770,"Latur"
115,"India",1498,"Maharashtra",70184,"Mumbai city"
115,"India",1498,"Maharashtra",70183,"Mumbai Suburban"
115,"India",1498,"Maharashtra",17771,"Nagpur"
115,"India",1498,"Maharashtra",17772,"Nanded"
115,"India",1498,"Maharashtra",70185,"Nandurbar"
115,"India",1498,"Maharashtra",17773,"Nashik"
115,"India",1498,"Maharashtra",17774,"Osmanabad"
115,"India",1498,"Maharashtra",70186,"Parbhani"
115,"India",1498,"Maharashtra",17776,"Pune"
115,"India",1498,"Maharashtra",17777,"Raigarh"
115,"India",1498,"Maharashtra",17778,"Ratnagiri"
115,"India",1498,"Maharashtra",17780,"Sangli"
115,"India",1498,"Maharashtra",17781,"Satara"
115,"India",1498,"Maharashtra",17779,"Sindhudurg"
115,"India",1498,"Maharashtra",17782,"Solapur"
115,"India",1498,"Maharashtra",17783,"Thane"
115,"India",1498,"Maharashtra",17784,"Wardha"
115,"India",1498,"Maharashtra",70187,"Washim"
115,"India",1498,"Maharashtra",17785,"Yavatmal"
115,"India",1500,"Manipur",70188,"Bishnupur"
115,"India",1500,"Manipur",70189,"Chandel"
115,"India",1500,"Manipur",70190,"Churachandpur"
115,"India",1500,"Manipur",70191,"East Imphal"
115,"India",1500,"Manipur",70192,"Senapati"
